"","year","ctry","milt_expend","gni_growth"
"276",1978,"GHA",34.4000397,NA
"277",1979,"GHA",22.7414125,NA
"278",1980,"GHA",27.5411516,NA
"279",1981,"GHA",20.6258094,NA
"280",1982,"GHA",14.6847794,NA
"281",1983,"GHA",8.83999993,NA
"282",1984,"GHA",16.1788796,NA
"283",1985,"GHA",31.3634714,NA
"284",1986,"GHA",33.7838374,NA
"285",1987,"GHA",34.9408043,NA
"286",1988,"GHA",18.3867765,NA
"287",1989,"GHA",19.4775677,NA
"288",1990,"GHA",20.9300093,NA
"289",1991,"GHA",29.9874541,NA
"290",1992,"GHA",32.5626714,NA
"291",1993,"GHA",38.0834094,NA
"292",1994,"GHA",41.4446116,NA
"293",1995,"GHA",42.2947743,NA
"294",1996,"GHA",35.6386194,NA
"295",1997,"GHA",35.7333695,NA
"296",1998,"GHA",44.4489713,NA
"297",1999,"GHA",47.0593779,NA
"298",2000,"GHA",65.9394391,NA
"299",2001,"GHA",41.4669898,NA
"300",2002,"GHA",45.6630946,NA
"301",2003,"GHA",56.7778242,NA
"302",2004,"GHA",55.3727429,NA
"303",2005,"GHA",55.2082441,NA
"304",2006,"GHA",59.3788338,NA
"305",2007,"GHA",91.1020882,1.723927777
"306",2008,"GHA",79.7298715,6.542824949
"307",2009,"GHA",92.6603853,2.26300631
"308",2010,"GHA",88.0299376,3.84305663
"309",2011,"GHA",163.64818,9.494228426
"310",2012,"GHA",256.295998,4.43757732
"311",2013,"GHA",188.924075,7.301610312
"312",2014,"GHA",178.250335,-0.02679394
"313",2015,"GHA",193.882152,3.104811147
"314",2016,"GHA",NA,NA
"315",2017,"GHA",NA,NA
"316",1913,"ZAF",NA,NA
"317",1914,"ZAF",NA,NA
"318",1915,"ZAF",NA,NA
"319",1916,"ZAF",NA,NA
"320",1917,"ZAF",NA,NA
"321",1918,"ZAF",NA,NA
"322",1919,"ZAF",NA,NA
"323",1920,"ZAF",NA,NA
"324",1921,"ZAF",NA,NA
"325",1922,"ZAF",NA,NA
"326",1923,"ZAF",NA,NA
"327",1924,"ZAF",NA,NA
"328",1925,"ZAF",NA,NA
"329",1926,"ZAF",NA,NA
"330",1927,"ZAF",NA,NA
"331",1928,"ZAF",NA,NA
"332",1929,"ZAF",NA,NA
"333",1930,"ZAF",NA,NA
"334",1931,"ZAF",NA,NA
"335",1932,"ZAF",NA,NA
"336",1933,"ZAF",NA,NA
"337",1934,"ZAF",NA,NA
"338",1935,"ZAF",NA,NA
"339",1936,"ZAF",NA,NA
"340",1937,"ZAF",NA,NA
"341",1938,"ZAF",NA,NA
"342",1939,"ZAF",NA,NA
"343",1940,"ZAF",NA,NA
"344",1941,"ZAF",NA,NA
"345",1942,"ZAF",NA,NA
"346",1943,"ZAF",NA,NA
"347",1944,"ZAF",NA,NA
